,name
0,آبتین
1,آبگینه
2,آترین
3,آتش
4,آتنا
5,آتورپات
6,آتوسا
7,آذر
8,آذرافروز
9,آذرخش
10,آذرمه
11,آذرنوش
12,آذرگون
13,آذین
14,آذین
15,آرا
16,آراد
17,آراز
18,آرام
19,آرتا
20,آرتان
21,آرتمیس
22,آرتین
23,آرزو
24,آرش
25,آرشام
26,آرمان
27,آرمیتا
28,آرمین
29,آرمینا
30,آرمینه
31,آروین
32,آریا
33,آریابان
34,آریادخت
35,آریافر
36,آریامن
37,آریامنش
38,آریامهر
39,آریان
40,آریانا
41,آریانا
42,آریانوش
43,آرین
44,آرینا
45,آریو
46,آریوبرزن
47,آزاد
48,آزاده
49,آزرمگان
50,آزرمیدخت
51,آسا
52,آساد
53,آسانا
54,آستیاژ
55,آستیاژ
56,آستیاگ
57,آفتاب
58,آفرین
59,آلا
60,آلاء
61,آلاله
62,آلان
63,آناهیتا
64,آندریا
65,آنوشا
66,آهو
67,آوا
68,آوش
69,آوش
70,آوه
71,آوید
72,آویده
73,آویزه
74,آویسا
75,آوین
76,آوینه
77,آویژه
78,آگرین
79,آیین‌گشسب
80,ابریشم
81,اختر
82,اختر
83,اخگر
84,ارتمیس
85,ارخشا
86,اردشیر
87,اردلان
88,اردوان
89,ارس
90,ارشا
91,ارشام
92,ارشیا
93,ارغوان
94,ارمایل
95,اروشا
96,اروند
97,ارژنگ
98,اسفندیار
99,اسکندر
100,اشک
101,اشکان
102,اشکبوس
103,افراسیاب
104,افروز
105,افروغ
106,افسانه
107,افسر
108,افسون
109,افشار
110,افشار
111,افشان
112,افشین
113,البرز
114,الوند
115,امتیس
116,امیتیس
117,امید
118,امیر علی
119,امیر کیان
120,امیررضا
121,اناهید
122,اندیشه
123,انوش
124,انوشه
125,انوشیروان
126,اورمزد
127,اورنگ
128,اومَتی
129,اَرَشک
130,اُرُد
131,اِستِر
132,اژدر
133,ایران
134,ایران
135,ایراندخت
136,ایرج
137,ایرمن
138,ایشتوویگو
139,بابک
140,باران
141,باربد
142,بامداد
143,بامشاد
144,بامین
145,بانو
146,بردیا
147,برزن
148,برزو
149,برزین
150,برسام
151,برنا
152,برنا
153,برومند
154,بزرگمهر
155,بنفشه
156,بهار
157,بهاران
158,بهاره
159,بهارک
160,بهبد
161,بهداد
162,بهدخت
163,بهدیس
164,بهراد
165,بهرام
166,بهرخ
167,بهرنگ
168,بهروز
169,بهزاد
170,بهشاد
171,بهشید
172,بهمن
173,بهمنش
174,بهناز
175,بهنام
176,بهنوش
177,به‌آیین
178,بوسه
179,بیتا
180,بیتا
181,بیژن
182,تابان
183,تابنده
184,ترانه
185,ترسا
186,ترمه
187,ترنگ
188,تریفه
189,تهماسب
190,تهمتن
191,تهمورث
192,تهمینه
193,ته‌لار
194,ته‌نیا
195,توراندخت
196,تورج
197,تِرنه
198,تیر
199,تیرداد
200,تیروژ
201,تیریژ
202,تینا
203,جاماسب
204,جاوید
205,جمشید
206,جهان
207,جهاندار
208,جهانشاه
209,جهانگیر
210,جهان‌بخش
211,جوان
212,جوانه
213,حامد
214,حسن
215,حسین
216,حمید
217,حمید رضا
218,خجسته
219,خدابخش
220,خداداد
221,خدایار
222,خسرو
223,خشایار
224,خناو
225,خوبیار
226,خورشید
227,خورشید
228,خوروَش
229,خوناس
230,دادمهر
231,دادویه
232,دارا
233,داراب
234,داریوش
235,دامون
236,دانه
237,دانو
238,دانوش
239,دریا
240,دلارا
241,دلارام
242,دلبر
243,دلوسه
244,دلکش
245,دوکا
246,دُرّی
247,دیاکو
248,دینا
249,راد
250,رادمان
251,رادین
252,رازان
253,راشر
254,رامان
255,رامبد
256,رامتین
257,رامش
258,رامین
259,رامینا
260,رخشان
261,رسا
262,رستان
263,رستم
264,رضا
265,رها
266,رها
267,رهام
268,رهام
269,روان
270,روجا
271,رود
272,رودابه
273,روزبه
274,روشنک
275,رومینا
276,رومینا
277,روناک
278,روژینا
279,رویا
280,رکسانا
281,ریزان
282,ریونیز
283,زاب
284,زال
285,زامیاد
286,زایه‌له
287,زرتشت
288,زردشت
289,زرمهر
290,زری
291,زرین
292,زرین‌دخت
293,زند
294,زوبین
295,زویا
296,زیبا
297,زینا
298,زیور
299,سارک
300,سارینا
301,ساسان
302,ساغر
303,سالار
304,سام
305,سامان
306,ساناز
307,سایه
308,ستاره
309,ستوده
310,سروش
311,سروناز
312,سرگل
313,سزد
314,سمانه
315,سهراب
316,سهند
317,سودابه
318,سورن
319,سورنا
320,سوری
321,سوزان
322,سوسن
323,سوشیانت
324,سوشیانس
325,سوگل
326,سوگند
327,سپنتا
328,سپهر
329,سپیده
330,سیامک
331,سیاوش
332,سیروس
333,سیما
334,سیمین
335,سینا
336,شادان
337,شادمهر
338,شادی
339,شانار
340,شاهرخ
341,شاهو
342,شاهکام
343,شاهین
344,شاپرک
345,شاپری
346,شاپور
347,شایا
348,شایان
349,شایسته
350,شباهنگ
351,شبره
352,شبنم
353,شروین
354,شهاب
355,شهبد
356,شهراد
357,شهرام
358,شهربانو
359,شهربانو
360,شهرخ
361,شهرداد
362,شهرزاد
363,شهرناز
364,شهروز
365,شهریار
366,شهناز
367,شهنام
368,شهپر
369,شهیار
370,شهین
371,شه‌مال
372,شه‌مزین
373,شورانگیز
374,شورش
375,شوپه
376,شوکا
377,شکوفه
378,شکوه
379,شکیبا
380,شیدا
381,شیده
382,شیرزاد
383,شیرنگ
384,شیروان
385,شیرکو
386,شیریزدان
387,شیرین
388,شیرین‌بانو
389,شیفته
390,شیما
391,شیوا
392,عرشیا
393,عرفان
394,علی
395,غمزه
396,غنچه
397,فاختک
398,فرامرز
399,فرانک
400,فربد
401,فرخ
402,فرخزاد
403,فرداد
404,فردین
405,فرزاد
406,فرزام
407,فرزان
408,فرزین
409,فرسا
410,فرشاد
411,فرشته
412,فرشید
413,فرمان
414,فرناد
415,فرنام
416,فرنوش
417,فرنیا
418,فرهاد
419,فرهام
420,فرهنگ
421,فرهود
422,فرود
423,فرورتیش
424,فروزنده
425,فروغ
426,فروهر
427,فریا
428,فریبا
429,فریبرز
430,فریما
431,فریماه
432,فرین
433,فریناز
434,فهام
435,فه‌رهاد
436,فوژان
437,فیروز
438,فیروزه
439,قشنگ
440,لادن
441,لاس
442,لاله
443,لاله‌رخ
444,لاوچاک
445,لهراسب
446,لیزان
447,مازون
448,مازیار
449,مامک
450,مانا
451,ماندان
452,ماندانا
453,مانشت
454,مانلی
455,مانی
456,ماهان
457,ماهتو
458,ماهدخت
459,ماهزاد
460,ماهنوش
461,ماهک
462,ماه‌برزین
463,ماه‌جهان
464,ماه‌پری
465,ماه‌چهر
466,ماکان
467,مبین
468,متن
469,مرتضی
470,مرجان
471,مرجانه
472,مرداس
473,مرداویج
474,مروارید
475,مزدک
476,مستانه
477,مسل
478,مشکان‌دخت
479,مشکین‌دخت
480,منوچهر
481,منیژه
482,مهبد
483,مهتا
484,مهتاب
485,مهداد
486,مهدخت
